"original_name","clean_name","code"
"ALTA VERAPAZ","alta verapaz",16
"BAJA VERAPAZ","baja verapaz",15
"CHIMALTENANGO","chimaltenango",4
"CHIQUIMULA","chiquimula",20
"EL PROGRESO","el progreso",2
"ESCUINTLA","escuintla",5
"GUATEMALA","guatemala",1
"HUEHUETENANGO","huehuetenango",13
"QUICHE","quiche",14
"IZABAL","izabal",18
"JALAPA","jalapa",21
"JUTIAPA","jutiapa",22
"PETEN","peten",17
"QUETZALTENANGO","quetzaltenango",9
"RETALHULEU","retalhuleu",11
"SACATEPEQUEZ","sacatepequez",3
"SAN MARCOS","san marcos",12
"SANTA ROSA","santa rosa",6
"SOLOLA","solola",7
"SUCHITEPEQUEZ","suchitepequez",10
"TOTONICAPAN","totonicapan",8
"ZACAPA","zacapa",19
"CS, SAN RAFAEL","cs, san rafael",NA
"LIVINGSTON","livingston",18
"PUERTO BARRIOS","puerto barrios",18
"ESTOR","estor",18
"AMATES","amates",18
"MORALES","morales",18
"PETEN ","peten ",17
"GUATEMALA SUR","guatemala sur",1
"mixco","mixco",1
"retaluleu","retaluleu",11
"guatemzala","guatemzala",1
"ESCUINTLA ","escuintla ",5
"MAZATENANGO","mazatenango",10
"GUATEMALA CENTRAL","guatemala central",1
"GUATEMALA NOR OCCIDENTE ","guatemala nor occidente ",1
"GUATEMALA ","guatemala ",1
"SAN MARCOS ","san marcos ",12
